item_no,chapter,description,unit,rate
A15.28.2,From brick work in cement mortar,"Dismantling roofing including ridges, hips valleys and gutters etc., and stacking the material within 50 metres lead of: - Asbestos Sheet",Sqm,47.9
A15.29,From brick work in cement mortar,separately) including stacking of serviceable material and,Cum,1543.8
A15.30,From brick work in cement mortar,serviceable material and disposal of unserviceable material,Sqm,147.2
A15.31,From brick work in cement mortar,including stacking of serviceable material and disposal of,Sqm,121.9
A15.33,From brick work in cement mortar,"Demolishing thatch roofing including mats, bamboo, jaffari etc. of unserviceable material within 50 metres lead. - “aps",Metre,12.1
A15.34.2,From brick work in cement mortar,"within 50 metres lead. Dismantling and stacking within 50 metres lead, fencing posts or - R.C.C.",Each,175.0
A15.35,From brick work in cement mortar,projection above the concrete or ground and stacking the same,Each,13.7
A15.36,From brick work in cement mortar,Dismantling barbed wire or flexible wire rope in fencing including,kg,21.2
A15.37,From brick work in cement mortar,stacking the serviceable material within 50 metres lead.,Sqm,39.0
A15.38,From brick work in cement mortar,battens and beading including stacking the serviceable material,Sqm,45.5
A15.39.1,From brick work in cement mortar,"within 50 metres lead. Dismantling wooden boardings in lining of walls and partitions, - ‘Upto 10 mm thick",Sqm,37.9
A15.39.2,From brick work in cement mortar,Thickness above 10 mm upto 25 mm,Sqm,48.4
A15.39.3,From brick work in cement mortar,‘Thickness above 25 mm upto 40 mm,Sqm,56.6
A15.40.1,From brick work in cement mortar,tea: | ee nal mmm mal me al mim mie walls etc. including stacking within 50 metres lead: | | | | | | - Thickness upto 40 mm,Sqm,171.0
A15.40.2,From brick work in cement mortar,tea: | ee nal mmm mal me al mim mie walls etc. including stacking within 50 metres lead: | | | | | | - Thickness above 40 mm upto 75 mm,Sqm,256.1
A15.41,From brick work in cement mortar,partition walls including stacking of serviceable materials and,Sqm,35.9
A15.42.1,From brick work in cement mortar,Dismantling C.I. or asbestos rain water pipe with fittings and - 75 to 80 mm dia pipe.,Metre,43.6
A15.42.2,From brick work in cement mortar,Dismantling C.I. or asbestos rain water pipe with fittings and - 100 mm dia pipe,Metre,45.1
A15.42.3,From brick work in cement mortar,Dismantling C.I. or asbestos rain water pipe with fittings and - 150 mm dia pipe,Metre,46.4
A15.43.1,From brick work in cement mortar,Dismantling manually/ by mechanical means including stacking of within 50 metres lead as per direction of Engineer-in-Charge. - Water bound macadam road,Sqm,128.6
A15.43.2,From brick work in cement mortar,Dismantling manually/ by mechanical means including stacking of within 50 metres lead as per direction of Engineer-in-Charge. - Bituminous road,Sqm,250.7
A15.44.1,From brick work in cement mortar,refilling trenches after taking out the pipes manually/ by lead as per direction of Engineer-in-Charge - 15 mm to 40 mm nominal bore,Metre,91.3
A15.44.2,From brick work in cement mortar,refilling trenches after taking out the pipes manually/ by lead as per direction of Engineer-in-Charge - Above 40 mm nominal bore,Metre,103.1
A15.45.1,From brick work in cement mortar,blocks including stacking of pipes and lead at site within 50 metre lead as per direction of Engineer-in-Charge. - Upto 150 mm diameter,Metre,273.0
A15.45.2,From brick work in cement mortar,blocks including stacking of pipes and lead at site within 50 metre lead as per direction of Engineer-in-Charge. - Above 150 mm dia upto 300 mm dia.,Metre,356.8
A15.45.3,From brick work in cement mortar,blocks including stacking of pipes and lead at site within 50 metre lead as per direction of Engineer-in-Charge. - Above 300 mm diameter,Metre,458.1
A15.46.1,From brick work in cement mortar,"and making into blocks including stacking of pipes, lead at site within 50 metres lead as per direction of Engineer-in-Charge: - Upto 600 mm diameter",Metre,427.5
A15.46.2,From brick work in cement mortar,"and making into blocks including stacking of pipes, lead at site within 50 metres lead as per direction of Engineer-in-Charge: - Above 600 mm diameter",Metre,1081.4
A15.47.1,From brick work in cement mortar,mechanical means and stacking the pipes within 50 metres lead as per direction of Engineer-in-Charge - Upto 150 mm diameter,Metre,191.2
A15.47.2,From brick work in cement mortar,mechanical means and stacking the pipes within 50 metres lead as per direction of Engineer-in-Charge - Above 150 mm diameter,Metre,232.3
A15.48,From brick work in cement mortar,manholes of various sizes including demolishing of R.C.C. work manually/ by mechanical means and stacking of useful materials - : . . . .,Each,413.1
A15.50,From brick work in cement mortar,"‘Dismantling of R.C.C. spun vent shaft including excavating the | | | | | | cement concrete pit completely, taking out the shaft, refilling - : : ;",Each,2832.0
A15.51,From brick work in cement mortar,site and disposal of unserviceable materials into municipal dumps,Each,775.1
A15.52,From brick work in cement mortar,China) including stacking of useful materials near the site and,Each,594.2
A15.53.1,From brick work in cement mortar,disposal of unserviceable materials within 50 metres lead. Dismantling of C.l. sluice valve including stacking of useful - Upto 150 mm diameter,Each,214.2
A15.53.2,From brick work in cement mortar,disposal of unserviceable materials within 50 metres lead. Dismantling of C.l. sluice valve including stacking of useful - ‘Above 150 mm diameter,Each,763.3
A15.54,From brick work in cement mortar,Dismantling of C.l. sluice valve including stacking of useful Ass awrisitinomecer tase Gach at) ast4nasigo ary asta) toning) ago tan) 60 nyt - : ais,Each,461.6
A15.55.1,From brick work in cement mortar,Dismantling of cement concrete platform along with curtain walls near the site and disposal of unserviceable materials within 50 - 120 x 120 cm (outside to outside),Each,636.9
A15.55.3,From brick work in cement mortar,Dismantling of cement concrete platform along with curtain walls near the site and disposal of unserviceable materials within 50 - 320 x 120 cm (outside to outside),Each,1382.6
A15.56,From brick work in cement mortar,the surface for plaster including disposal of rubbish to the,Sqm,31.6
A15.57,From brick work in cement mortar,material and stacking of serviceable material with in 50 meters,Sqm,35.9
A15.58,From brick work in cement mortar,"lead of 1 kilometre,, staking of seviceable and unservicable| =",Cum,1905.9
A15.59,From brick work in cement mortar,mechanical means and disposal of dismantled material upto a =,Cum,270.1
A16.70.1,16.0 ROAD WORKS,width in mesh size 50x50 mm including strengthening with 2 mm the direction of Engineer-in-Charge. - Made of G.I wire of dia 4mm,Sqm,809.0
A16.70.2,16.0 ROAD WORKS,"the direction of Engineer-in-Charge. ‘Made of G.I wire of dia 4 mm , PVC coated to achieve outer dia - : :",Sqm,842.0
A16.71,16.0 ROAD WORKS,"including strengthening with 2 mm dia wire or nuts, bolts and",Sqm,896.0
A16.84,16.0 ROAD WORKS,"sand, filling the joints with fine sand etc. all complete as per the",Sqm,290.0
A16.91.1,16.0 ROAD WORKS,Meor1 Specs desupancpatem SM “OM RGD ssn HOLG0 HIS Ison SAGO Yam.OY 400 HLGD_n09 YD.,Sqm,880.0
A16.91.2,16.0 ROAD WORKS,Meera Specs desunancpatem SM HB6M|HTORGO HERG De-GO1HOA eGo aEGO_ 1550009 BnGO__s8HL00 1707.0,Sqm,1188.0
A17.1.1,17.0 SANITARY INSTALLATIONS,the walls and floors wherever required. Amt mimegatpetateaa MOM easy sna sans0 sara roscoe easy siss0|esmon_stenco saan ens9 eras - tah:,Each,5867.3
A17.1.2,17.0 SANITARY INSTALLATIONS,with integral type foot rests Stainless Steel AISI-304(18/8) Orissa pattern W.C. pan of size - . . .,Each,11300.2
A17.2.1,17.0 SANITARY INSTALLATIONS,W.C. pan with ISI marked white solid plastic seat and lid,Each,5669.8
A17.2.2,17.0 SANITARY INSTALLATIONS,W.C. pan with ISI marked black solid plastic seat and lid,Each,5521.6
A17.3.1,17.0 SANITARY INSTALLATIONS,W.C. pan with ISI marked white solid plastic seat and lid,Each,7352.4
A17.3.2,17.0 SANITARY INSTALLATIONS,W.C. pan with ISI marked Black solid plastic seat and lid.,Each,7204.3
A17.4.1,17.0 SANITARY INSTALLATIONS,floors wherever required : One urinal basin with 5 litre white P.V.C. automatic flushing - cistern,Each,5165.7
A17.4.2,17.0 SANITARY INSTALLATIONS,One urinal basin with 5 litre white P.V.C. automatic flushing Range of two urinal basins with 5 litre white P.V.C. automatic - flushing cistern,Each,7979.0
A17.4.3,17.0 SANITARY INSTALLATIONS,Range of two urinal basins with 5 litre white P.V.C. automatic Range of three urinal basins with 10 litre white P.V.C. automatic - flushing cistern,Each,10986.4
A17.4.4,17.0 SANITARY INSTALLATIONS,Range of four urinal basins with 10 litre white P.V.C. automatic - flushing cistern,Each,15088.0
A17.5.1,17.0 SANITARY INSTALLATIONS,and making good the walls and floors wherever required: Single half stall urinal with 5 litre P.V.C. automatic flushing - cistern,Each,9207.7
A17.5.2,17.0 SANITARY INSTALLATIONS,Single half stall urinal with 5 litre P.V.C. automatic flushing Range of two half stall urinals with 5 litre P.V.C. automatic - flushing cistern,Each,13821.7
A17.5.3,17.0 SANITARY INSTALLATIONS,Range of two half stall urinals with 5 litre P.V.C. automatic Range of Three half stall urinals with 10 litre P.V.C. automatic - flushing cistern,Each,17271.0
A17.5.4,17.0 SANITARY INSTALLATIONS,Range of Three half stall urinals with 10 litre P.V.C. automatic Range of Four half stall urinals with 10 litre P.V.C. automatic - flushing cistern,Each,20541.4
A17.6.1,17.0 SANITARY INSTALLATIONS,good the walls and floors etc. wherever required : Single squatting plate with 5 litre P.V.C. automatic flushing - cistern,Each,7263.7
A17.6.2,17.0 SANITARY INSTALLATIONS,Single squatting plate with 5 litre P.V.C. automatic flushing ‘Range of two squatting plates with 5 litre P.V.C. automatic | | | | | | - flushing cistern,Each,10768.5
A17.6.3,17.0 SANITARY INSTALLATIONS,‘Range of two squatting plates with 5 litre P.V.C. automatic | | | | | | ‘Range of three squatting plate with 10 litre P.V.C. automatic | | | | | | - flushing cistern,Each,14307.1
A17.6.4,17.0 SANITARY INSTALLATIONS,‘Range of three squatting plate with 10 litre P.V.C. automatic | | | | | | ‘Range of four squatting plate with 10 litre P.V.C. automatic | | | | | | - flushing cistern,Each,17369.5
A17.7.1,17.0 SANITARY INSTALLATIONS,White vitreous china basin size 630X450 mm with a pair of 15 mm,Each,3403.6
A17.7.2,17.0 SANITARY INSTALLATIONS,White Vitreoud China Wash basin size 630X450 mm with a single,Each,3010.6
A17.7.3,17.0 SANITARY INSTALLATIONS,White Vitreous China Wash basin size 550x400 mm with a pair of,Each,2621.6
A17.7.4,17.0 SANITARY INSTALLATIONS,White Vitreous China Flat back wash basin size 550x400 mm with - : F,Each,2228.6
A17.7.5,17.0 SANITARY INSTALLATIONS,single 15 mm C.P. brass pillar tap White Vitreous China Angle back wash basin size 600x480 mm - seh cs :,Each,3010.6
A17.7.6,17.0 SANITARY INSTALLATIONS,with single 15 mm C.P.brass pillar tap White Vitreous China Angle back wash basin size 400x400 mm - seh cs :,Each,2516.7
A17.7.7,17.0 SANITARY INSTALLATIONS,with single 15 mm C.P.brass pillar tap White Vitreous China Flat back wash basin size 450x300 mm with - : :,Each,2327.4
A17.7.8,17.0 SANITARY INSTALLATIONS,mm with a pair of 15 mm C.P. brass pillar taps with elbow,Each,4590.6
A17.7.9,17.0 SANITARY INSTALLATIONS,mm with single 15 mm C.P. brass pillar taps with elbow operated,Each,3830.5
A17.7.10,17.0 SANITARY INSTALLATIONS,Stainless Steel AISI-304(18/8) Round basin 405x355mm with single,Each,4286.5
A17.7.11,17.0 SANITARY INSTALLATIONS,Stainless Steel AISI-304(18/8) Wash basin 530x345 mm with single,Each,5109.7
A17.8,17.0 SANITARY INSTALLATIONS,completely recessed at the back for the reception of pipes and,Each,1747.5
A17.10.1.1,17.0 SANITARY INSTALLATIONS,as per I.S. 13983 with C.I. brackets and stainless steel plug 40 making good the walls wherever required : - 510x1040mm bowl depth 250 mm,Each,5856.5
A17.10.1.2,17.0 SANITARY INSTALLATIONS,as per I.S. 13983 with C.I. brackets and stainless steel plug 40 making good the walls wherever required : - 510x1040mm bowl depth 225 mm,Each,6712.6
A17.10.1.3,17.0 SANITARY INSTALLATIONS,as per I.S. 13983 with C.I. brackets and stainless steel plug 40 making good the walls wherever required : - 510x1040mm bowl depth 200 mm,Each,6383.3
A17.10.1.4,17.0 SANITARY INSTALLATIONS,making good the walls wherever required : - 510x1040mm bowl depth 178 mm,Each,5889.4
A17.10.2.2,17.0 SANITARY INSTALLATIONS,610x460mm bowl depth 200 mm,Each,3150.4
A17.10.2.3,17.0 SANITARY INSTALLATIONS,470x420mm bowl depth 178 mm,Each,2903.4
A17.11.1,17.0 SANITARY INSTALLATIONS,"complete, including painting of fittings and brackets, cutting and making good the wall wherever required : - Size 450x300x150mm",Each,4742.4
A17.11.2,17.0 SANITARY INSTALLATIONS,"complete, including painting of fittings and brackets, cutting and making good the wall wherever required : - Size 600x450x200mm",Each,6388.7
A17.12.1,17.0 SANITARY INSTALLATIONS,White glazed fire clay draining board of size 600x450x25mm,Each,1512.4
A17.13.2,17.0 SANITARY INSTALLATIONS,Orissa pattern W.C. pan of size 580x440 mm,Each,2833.5
A17.14.1,17.0 SANITARY INSTALLATIONS,Providing and fixing white vitreous china water closet squatting - Orissa pattern W.C. pan 580x440 mm,Each,1037.2
A17.16,17.0 SANITARY INSTALLATIONS,with low level cistern of same colour instead of white vitreous,Each,321.0
A17.17.1,17.0 SANITARY INSTALLATIONS,Providing and fixing a pair of white vitreous china foot rests of AYA7 | _Sngrpaten rong pn water ce - 250x130x30 mm,Each,220.8
A17.17.2,17.0 SANITARY INSTALLATIONS,Providing and fixing a pair of white vitreous china foot rests of AYA7 | _Sngrpaten rong pn water ce - 250x125x25 mm,Each,220.8
A17.18.1,17.0 SANITARY INSTALLATIONS,"Providing and fixing P.V.C. low level flushing cistern witn 7231, with all fittings and fixtures complete. - 10 litre capacity - White",Each,1139.0
A17.18.2,17.0 SANITARY INSTALLATIONS,"7231, with all fittings and fixtures complete. - 10 litre capacity - coloured",Each,1097.8
A17.19.1,17.0 SANITARY INSTALLATIONS,"Providing and fixing controlled flush, low level cistern made of - 10 litre (full flush) capacity-white",Each,1921.7
A17.19.2,17.0 SANITARY INSTALLATIONS,"Providing and fixing controlled flush, low level cistern made of - 10 litre (full flush) capacity-coloured",Each,2662.6
A17.20.1,17.0 SANITARY INSTALLATIONS,Providing and fixing solid plastic seat with lid for pedestal type - White solid plastic seat with lid,Each,658.5
A17.20.2,17.0 SANITARY INSTALLATIONS,Providing and fixing solid plastic seat with lid for pedestal type - Black solid plastic seat with lid,Each,510.4
A17.20.3,17.0 SANITARY INSTALLATIONS,Coloured (other than black 7 white) solid plastic seat with lid,Each,642.1
A17.22,17.0 SANITARY INSTALLATIONS,Providing and fixing G. I. inlet connection for flush pipe - connecting with W.C. pan.,Each,98.8
A17.23,17.0 SANITARY INSTALLATIONS,type lipped front urinal basin of 430x260x350mm and 340x410x,Each,1342.0
A17.24,17.0 SANITARY INSTALLATIONS,265mm sizes respectively. Providing and fixing white vitreous china squatting plate urinal - ahs . teas .,Each,3307.7
A17.25.1,17.0 SANITARY INSTALLATIONS,with integral rim longitudinal flush pipe. Providing and fixing white vitreous china wash basin including - Flat back wash basin of size 630x450mm.,Each,1370.8
A17.25.2,17.0 SANITARY INSTALLATIONS,Providing and fixing white vitreous china wash basin including - Flat back wash basin of size 550x400mm.,Each,588.8
A17.25.3,17.0 SANITARY INSTALLATIONS,Angle back wash basin of size 600x480mm.,Each,1370.8
A17.25.4,17.0 SANITARY INSTALLATIONS,Angle back wash basin of size 400x400mm.,Each,876.9
A17.25.5,17.0 SANITARY INSTALLATIONS,Flat back wash basin of size 450x300mm.,Each,687.6
A17.25.6,17.0 SANITARY INSTALLATIONS,Surgeon type wash basin of size 660x460mm.,Each,1823.5
A17.26.1,17.0 SANITARY INSTALLATIONS,White glazed fire clay sink of size 600x450x250 mm.,Each,2245.4
A17.27.1,17.0 SANITARY INSTALLATIONS,Providing and fixing white vitreous china laboratory sink including - Size 450x300x150 mm.,Each,2602.6
A17.27.2,17.0 SANITARY INSTALLATIONS,Providing and fixing white vitreous china laboratory sink including - Size 600x450x200 mm.,Each,4249.0
A17.28.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing P.V.C. waste pipe for sink or wash basin Arras inn ic wate tng conpt - 40 mm dia,Each,54.3
A17.28.2.1,17.0 SANITARY INSTALLATIONS,Providing and fixing P.V.C. waste pipe for sink or wash basin Arras inn ic wate tng conpt - 32 mm dia,Each,57.6
A17.28.2.2,17.0 SANITARY INSTALLATIONS,Providing and fixing P.V.C. waste pipe for sink or wash basin Arras inn ic wate tng conpt - 40 mm dia,Each,57.6
A17.31,17.0 SANITARY INSTALLATIONS,ground fixed to wooden cleats with C.P. brass screws and,Each,1281.0
A17.32.1,17.0 SANITARY INSTALLATIONS,Providing and fixing mirror of superior glass (of approved quality) and of required shape and size with plastic moulded frame of - Circular shape 450mm dia.,Each,1306.1
A17.32.2,17.0 SANITARY INSTALLATIONS,Providing and fixing mirror of superior glass (of approved quality) and of required shape and size with plastic moulded frame of - Rectangular shape 453x357mm dia.,Each,1156.3
A17.32.3,17.0 SANITARY INSTALLATIONS,Providing and fixing mirror of superior glass (of approved quality) and of required shape and size with plastic moulded frame of - Oval shape 450x350mm (outer dimensions),Each,1236.7
A17.32.4,17.0 SANITARY INSTALLATIONS,Providing and fixing mirror of superior glass (of approved quality) and of required shape and size with plastic moulded frame of - Rectangular shape 1500x450 mm,Each,1976.2
A17.33,17.0 SANITARY INSTALLATIONS,"brackets and guard rail complete fixed with 40mm long screws,",Each,864.2
A17.34.2,17.0 SANITARY INSTALLATIONS,"supported on anodised aluminium angle frame with C.P. brass rawl plugs etc., complete - Vitreous china",Each,410.7
A17.35.2.3,17.0 SANITARY INSTALLATIONS,Av79823 Ge sing MOPHRepayeneenss Seam) 10670 R60 to] L200 NHL Iso HEI 9.,Each,1036.7
A17.36.2,17.0 SANITARY INSTALLATIONS,"Scomte oan tas sn a_i cis Tn) Providing and filling the joints with spun yarn, cement slurry and - 100 mm dia pipe",Each,133.6
A17.37.1,17.0 SANITARY INSTALLATIONS,cement concrete blocks 10x10x10cm of 1:2:4 mix (1 cement : 2 including cost of cutting holes and making good the walls etc. : - For 100 mm dia. pipe,Each,269.2
A17.37.2,17.0 SANITARY INSTALLATIONS,cement concrete blocks 10x10x10cm of 1:2:4 mix (1 cement : 2 including cost of cutting holes and making good the walls etc. : - For 75 mm dia pipe,Each,264.3
A17.38.1.1,17.0 SANITARY INSTALLATIONS,"Ay738 ari nberwaber omic boteanseenp , insertion rubber washer 3 mm thick, bolts and nuts complete. - ‘Sand cast iron S&S as per IS - 1729",Each,568.1
A17.38.1.2,17.0 SANITARY INSTALLATIONS,"Ay738 ari nberwaber omic boteanseenp , insertion rubber washer 3 mm thick, bolts and nuts complete. - Sand Cast iron S&S as per IS-3989",Each,568.1
A17.38.1.3,17.0 SANITARY INSTALLATIONS,", insertion rubber washer 3 mm thick, bolts and nuts complete. ‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - outside as per IS-15905",Each,675.1
A17.38.2.1,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - Sand cast iron S&S as per IS - 1729,Each,457.0
A17.38.2.2,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - Sand cast iron S&S as per IS-3989,Each,473.5
A17.39.1.1,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron epoxy coated inside and - Sand cast iron S&S as per IS-1729,Each,469.3
A17.39.1.2,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron epoxy coated inside and - ‘Sand Cast iron S&S as per IS-3989,Each,480.8
A17.39.2.1,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipe epoxy coated inside - Sand cast iron S&S as per IS-1729,Each,381.3
A17.39.2.2,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipe epoxy coated inside - Sand cast iron S&S as per IS-3989,Each,356.6
A17.39.2.3,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipe epoxy coated inside ‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside | | | | | | - and outside 1.S-15905,Each,298.9
A17.40.1.2,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside | | | | | | - Sand cast iron S&S as per IS-3989,Each,531.8
A17.40.2.1,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside | | | | | | - Sand cast iron S&S as per IS-1729,Each,486.6
A17.40.2.2,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside | | | | | | - ‘Sand Cast Iron S&S as per I.S-3989,Each,447.1
A17.41.1.1,17.0 SANITARY INSTALLATIONS,Sand cast iron S&S as per I.S-1729,Each,1250.9
A17.41.1.2,17.0 SANITARY INSTALLATIONS,‘Sand cast iron S&S as per I.S-3989,Each,1086.2
A17.41.2.2,17.0 SANITARY INSTALLATIONS,Sand Cast Iron S&S as per IS-3989,Each,852.1
A17.42.1.1,17.0 SANITARY INSTALLATIONS,Providing and fixing double equal plain junction of required | | | | | | - Sand cast iron S&S as per IS- 1729,Each,1015.9
A17.42.1.2,17.0 SANITARY INSTALLATIONS,‘Sand Cast iron S&S as per IS-3989,Each,1065.2
A17.42.2.2,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside & - Sand cast iron S&S as per IS-3989,Each,796.1
A17.42.2.3,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | | - outside 1.$-15905,Each,488.3
A17.43.1.2,17.0 SANITARY INSTALLATIONS,bolts and nuts complete. - Sand cast iron S&S as per IS-3989,Each,889.1
A17.43.2.1,17.0 SANITARY INSTALLATIONS,bolts and nuts complete. - Sand cast iron S&S as per IS-1729,Each,588.7
A17.43.2.2,17.0 SANITARY INSTALLATIONS,Sand cast ironS&S as per IS-3989,Each,676.0
A17.44.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing single equal plain junction of required - Sand cast iron S&S as per I.S-3989,Each,821.6
A17.44.1.3,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | | - outside 1.$-15905,Each,703.0
A17.44.2.1,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | | - Sand cast iron S&S as per IS-1729,Each,493.2
A17.45.1.1,17.0 SANITARY INSTALLATIONS,Providing and fixing double unequal junction of required degree - Sand cast iron S&S as per IS-1729,Each,1226.6
A17.45.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing double unequal junction of required degree - Sand cast iron S&S as per IS-3989,Each,1473.5
A17.46.1.1,17.0 SANITARY INSTALLATIONS,Providing and fixing double unequal plain junction of required - Sand cast iron S&S as per IS-1729,Each,1057.0
A17.46.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing double unequal plain junction of required - ‘Sand Cast Iron S&S as per |S-3989,Each,1361.6
A17.46.1.3,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside &,Each,703.0
A17.47.1.1,17.0 SANITARY INSTALLATIONS,outside |.S-15905 Providing and fixing single unequal junction of required degree - Sand cast iron S&S as per IS-1729,Each,979.6
A17.47.1.2,17.0 SANITARY INSTALLATIONS,outside |.S-15905 Providing and fixing single unequal junction of required degree - Sand cast iron S&S as per IS-3989,Each,1127.8
A17.48.1.1,17.0 SANITARY INSTALLATIONS,Providing and fixing single unequal piain junction of required - Sand cast iron S&S as per IS-1729,Each,857.8
A17.48.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing single unequal piain junction of required - Sand cast iron S&S as per IS-3989,Each,982.9
A17.48.1.3,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside &,Each,661.9
A17.49.1.1,17.0 SANITARY INSTALLATIONS,outside |.S-15905 Providing and fixing double equal plain invert branch of required - Sand cast iron S&S as per IS-1729,Each,950.0
A17.49.1.2,17.0 SANITARY INSTALLATIONS,outside |.S-15905 Providing and fixing double equal plain invert branch of required - Sand cast iron S&S as per IS-3989,Each,917.1
A17.49.1.3,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside &,Each,1073.5
A17.49.2.1,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside |.S-15905 - Sand cast iron S&S as per IS-1729,Each,710.5
A17.49.2.2,17.0 SANITARY INSTALLATIONS,Hubless centrifugally cast (spun) iron pipes epoxy coated inside & outside |.S-15905 - Sand cast iron S&S as per IS-3989,Each,735.2
A17.50.1.1,17.0 SANITARY INSTALLATIONS,Providing and fixing single equal plain invert branch of required - Sand cast iron S&S as per IS-1729,Each,719.5
A17.50.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing single equal plain invert branch of required - Sand Cast Iron S&S as per IS-3989,Each,744.2
A17.50.1.3,17.0 SANITARY INSTALLATIONS,"AY7SO43 rage sigan NN MSNPPRCIDGINGSIINS'S cach 56, gtr) sanso. ars) et4sn)_ih79 span) an.307OSan)7oN60_ sh) _e7. 0",Each,686.6
A17.50.2.2,17.0 SANITARY INSTALLATIONS,"AY7SO43 rage sigan NN MSNPPRCIDGINGSIINS'S cach 56, gtr) sanso. ars) et4sn)_ih79 span) an.307OSan)7oN60_ sh) _e7. 0 outside |.S-15905 - Sand cast iron S&S as per IS-3989",Each,567.3
A17.50.2.3,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | |,Each,463.6
A17.51.1.1,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | | outside |.S-15905 - Sand cast iron S&S as per IS-1729,Each,982.9
A17.52.1.2,17.0 SANITARY INSTALLATIONS,Providing and fixing single unequal plain invert branch of - Sand Cast Iron S&S as per IS-3989,Each,941.8
A17.52.1.3,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron pipes epoxy coated inside & | | | | | |,Each,752.4
A17.53.1.2,17.0 SANITARY INSTALLATIONS,outside |.S-15905 poms | SERCO wm | reel nl tee mie nln] tonne) el - With 100 mm dia. pipe,Each,633.1
A17.53.2.1,17.0 SANITARY INSTALLATIONS,poms | SERCO wm | reel nl tee mie nln] tonne) el Ansa tamotwe eee eee eee - With 75 mm dia. pipe,Each,538.4
A17.53.3.2,17.0 SANITARY INSTALLATIONS,poms | SERCO wm | reel nl tee mie nln] tonne) el Ansa tamotwe eee eee eee - With 100 mm dia. pipe,Each,808.2
A17.54.1.1,17.0 SANITARY INSTALLATIONS,ATTA ted nie Us pe . coated inside & outside as per IS-15905 - With 75 mm dia. pipe,Each,406.0
A17.54.2.1,17.0 SANITARY INSTALLATIONS,Aina tomate eee eee eee - With 75 mm dia. pipe,Each,522.3
A17.55.1.1,17.0 SANITARY INSTALLATIONS,". thick, bolts & nuts complete - Sand cast iron S&S as per IS-1729",Each,856.2
A17.55.2.2,17.0 SANITARY INSTALLATIONS,". thick, bolts & nuts complete - Sand Cast Iron S&S as per IS-3989",Each,720.4
A17.56.1.2,17.0 SANITARY INSTALLATIONS,AinsePoingandtnngiomintgace eee ee eee - Sand cast iron S&S as per IS 3989,Each,479.1
A17.56.1.3,17.0 SANITARY INSTALLATIONS,AinsePoingandtnngiomintgace eee ee eee ‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - outside as per IS 15905,Each,489.0
A17.56.2.1,17.0 SANITARY INSTALLATIONS,AinsePoingandtnngiomintgace eee ee eee ‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - Sand cast iron S&S as per IS 1729,Each,350.0
A17.57.1.1,17.0 SANITARY INSTALLATIONS,‘Hubless centrifugally cast (spun) iron epoxy coated inside and | | | | | | - Sand cast iron S&S as per IS 1729,Each,449.5
A17.57.2.2,17.0 SANITARY INSTALLATIONS,Sand cast iron S&S as per IS 3989,Each,315.4
